,순위,곡명,가수명,좋아요,Unnamed: 4
40,41,오래된 노래,스탠딩 에그,246492,
41,42,사랑이란 멜로는 없어,전상근,129899,
42,43,반만,진민호,70863,
43,44,시든 꽃에 물을 주듯,HYNN (박혜원),200526,
44,45,너를 만나,폴킴,303828,
45,46,Square (2017),백예린 (Yerin Baek),253647,
46,47,FIESTA,IZ*ONE (아이즈원),132543,
47,48,덤더럼 (Dumhdurum),Apink (에이핑크),94400,
48,49,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161298,
49,50,조금 취했어 (Prod. 2soo),임재현,118182,
50,51,Celebrity,아이유,319960,
51,52,롤린 (Rollin'),브레이브걸스,294582,
52,53,Dynamite,방탄소년단,435383,
53,54,Next Level,aespa,245441,
54,55,라일락,아이유,241144,
55,56,밤하늘의 별을(2020),경서,191574,
56,57,신호등,이무진,279193,
57,58,Butter,방탄소년단,272449,
58,59,내 손을 잡아,아이유,192409,
59,60,밝게 빛나는 별이 되어 비춰줄게,송이한,118461,
60,61,바라만 본다,MSG워너비(M.O.M),176506,
61,62,잠이 오질 않네요,장범준,157925,
62,63,헤픈 우연,헤이즈 (Heize),177275,
63,64,Lovesick Girls,BLACKPINK,215180,
64,65,취기를 빌려 (취향저격 그녀 X 산들),산들,215769,
65,66,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),200102,
66,67,운전만해 (We Ride),브레이브걸스,134281,
67,68,Dun Dun Dance,오마이걸 (OH MY GIRL),158650,
68,69,Blueming,아이유,338189,
69,70,에잇(Prod.&Feat. SUGA of BTS),아이유,378799,
70,71,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),383003,
71,72,오래된 노래,스탠딩 에그,246492,
72,73,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303550,
73,74,그날에 나는 맘이 편했을까,이예준,81424,
74,75,Life Goes On,방탄소년단,238192,
75,76,모든 날 모든 순간 (Every day Every Moment),폴킴,394295,
76,77,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,111656,
77,78,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,125985,
78,79,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,435458,
79,80,ASAP,STAYC(스테이씨),142648,
80,81,METEOR,창모 (CHANGMO),282757,
81,82,Timeless,SG 워너비,111100,
82,83,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,143208,
83,84,아로하,조정석,235241,
84,85,Weekend,태연 (TAEYEON),176061,
85,86,Dolphin,오마이걸 (OH MY GIRL),197703,
86,87,봄날,방탄소년단,561365,
87,88,Permission to Dance,방탄소년단,206356,
88,89,멜로디,ASH ISLAND,132587,
89,90,추억은 만남보다 이별에 남아,정동하,86377,
90,91,OHAYO MY NIGHT,디핵 (D-Hack),186116,
91,92,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262545,
92,93,낙하 (with 아이유),AKMU (악뮤),173115,
93,94,이제 나만 믿어요,임영웅,155046,
94,95,사실 나는 (Feat.전건호),경서예지,93002,
95,96,다정히 내 이름을 부르면,경서예지,136252,
96,97,On The Ground,로제 (ROSÉ),153489,
97,98,힘든 건 사랑이 아니다,임창정,112618,
98,99,어떻게 지내 (Prod. By VAN.C),오반,179820,
99,100,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,86585,
